ptz_num	pitch	yaw	zoom	f
92	-85.33	326.78999999999996	45.6	9375.152
93	-85.58	319.38	50.8	10403.035999999998
94	-84.38	312.23	50.8	10403.035999999998
95	-84.38	305.35	50.8	10403.035999999998
96	-84.38	298.23	50.8	10403.035999999998
97	-84.38	291.27	50.8	10403.035999999998
98	-84.38	283.86	50.8	10403.035999999998
99	-84.38	276.69	50.8	10403.035999999998
100	-84.38	269.6	50.8	10403.035999999998
101	-84.38	264.44	50.8	10403.035999999998
102	-79.19	269.88	26.0	5500.82
103	-79.19	283.03999999999996	26.0	5500.82
104	-79.19	296.20000000000005	28.8	6054.295999999999
105	-79.86	308.66999999999996	34.0	7082.179999999999
106	-80.36	318.89	34.0	7082.179999999999
107	-80.36	329.41999999999996	34.0	7082.179999999999
108	-80.58	339.20000000000005	34.0	7082.179999999999
109	-80.58	350.16999999999996	34.0	7082.179999999999
110	-80.54	360.78	34.0	7082.179999999999
111	-79.55	371.15	34.0	7082.179999999999
112	-64.93	269.88	10.0	2338.1
113	-68.16	299.45000000000005	11.2	2575.3039999999996
114	-69.14	326.54999999999995	11.2	2575.3039999999996
115	-69.41	357.89	11.2	2575.3039999999996
116	-41.199999999999996	281.47	4.0	1152.08
117	-43.26	338.78999999999996	4.0	1152.08
118	-18.519999999999996	344.95000000000005	4.0	1152.08
119	-4.670000000000002	161.9	4.0	1152.08
120	-76.36	36.39	26.4	5579.887999999999
121	-66.81	43.49	12.0	2733.44
122	-76.36	41.260000000000005	16.8	3682.256
123	-76.36	59.82	16.8	3682.256
124	-76.36	80.78999999999999	16.8	3682.256
125	-63.9	43.49	12.0	2733.44
126	-63.9	69.14	12.0	2733.44
127	-63.9	100.81	8.0	1942.7599999999998
128	-63.9	134.34	8.0	1942.7599999999998
129	-63.9	171.12	8.0	1942.7599999999998
130	-63.9	206.05	8.0	1942.7599999999998
131	-63.9	242.84	8.0	1942.7599999999998
132	-79.15	257.09000000000003	20.4	4393.8679999999995
133	-79.15	240.97	20.4	4393.8679999999995
134	-78.58	225.87	20.4	4393.8679999999995
135	-78.58	210.16	20.4	4393.8679999999995
136	-78.58	193.49	20.4	4393.8679999999995
137	-83.99	213.46	31.2	6528.703999999999
138	-83.99	202.34	31.2	6528.703999999999
139	-79.23	169.02	4.0	1152.08
